State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total day minutes (normalized)
AZ,130,415,No,No,0,183.0,112.0,31.11,72.9,99.0,6.2,181.8,78.0,8.18,9.5,19,2.57,0.0,,0.5216647662485747
SC,111,415,No,No,0,110.4,103.0,18.77,137.3,102.0,11.67,189.6,105.0,8.53,7.7,6,2.08,2.0,False,0.314709236031927
VA,132,510,No,No,0,81.1,86.0,13.79,245.2,72.0,20.84,237.0,115.0,10.67,10.3,2,2.78,0.0,False,0.23118586088939563
NE,174,415,No,No,0,124.3,76.0,21.13,277.1,112.0,23.55,250.7,115.0,11.28,15.5,5,4.19,3.0,False,0.3543329532497149
WY,57,408,No,Yes,39,213.0,115.0,36.21,191.1,112.0,16.24,182.7,115.0,8.22,9.5,3,2.57,0.0,False,0.6071835803876853
MT,54,408,No,No,0,134.3,73.0,22.83,155.5,100.0,13.22,102.1,68.0,4.59,14.7,4,3.97,3.0,False,0.3828392246294185
MO,20,415,No,No,0,190.0,109.0,32.3,258.2,84.0,21.95,181.5,102.0,8.17,6.3,6,1.7,0.0,False,0.5416191562143672
HI,49,510,No,No,0,119.3,117.0,20.28,215.1,109.0,18.28,178.7,90.0,8.04,11.1,1,3.0,1.0,,0.34007981755986316
IL,142,415,No,No,0,84.8,95.0,14.42,136.7,63.0,11.62,250.5,148.0,11.27,14.2,6,3.83,2.0,False,0.24173318129988597
NH,75,510,No,No,0,226.1,105.0,30.557831070889893,201.03393501805056,100.11067669172932,17.13,246.2,98.0,11.08,10.3,5,2.78,1.0,False,0.6445267958950969
LA,172,408,No,No,0,212.0,121.0,30.557831070889893,201.03393501805056,100.11067669172932,2.65,293.3,78.0,13.2,12.6,10,3.4,3.0,False,0.6043329532497149
AZ,12,408,No,No,0,249.6,118.0,30.557831070889893,201.03393501805056,100.11067669172932,21.45,280.2,90.0,12.61,11.8,3,3.19,1.0,True,0.7115165336374002
OK,57,408,No,Yes,25,176.8,94.0,30.557831070889893,201.03393501805056,100.11067669172932,16.58,213.5,116.0,9.61,8.3,4,2.24,0.0,False,0.5039908779931586
GA,72,415,No,Yes,37,220.0,80.0,30.557831070889893,201.03393501805056,100.11067669172932,18.47,152.8,71.0,6.88,14.7,6,3.97,3.0,False,0.6271379703534777
AK,36,408,No,Yes,30,146.3,128.0,30.557831070889893,201.03393501805056,100.11067669172932,13.81,129.3,109.0,5.82,14.5,6,3.92,0.0,False,0.4170467502850627
MA,78,415,No,No,0,130.8,64.0,30.557831070889893,201.03393501805056,100.11067669172932,19.01,227.8,108.0,10.25,10.0,5,2.7,1.0,False,0.37286202964652226
AK,136,415,Yes,Yes,33,203.9,106.0,30.557831070889893,201.03393501805056,100.11067669172932,15.95,101.7,107.0,4.58,10.5,6,2.84,3.0,False,0.5812428734321551
NJ,149,408,No,No,0,140.4,94.0,23.87,271.8,92.0,23.1,188.3,108.0,8.47,11.1,9,3.0,1.0,False,0.40022805017103763
GA,98,408,No,No,0,126.3,102.0,21.47,166.8,85.0,14.18,187.8,135.0,8.45,9.4,2,2.54,3.0,False,0.3600342075256556
MD,135,408,Yes,Yes,41,173.1,85.0,29.43,203.9,107.0,17.33,122.2,78.0,5.5,14.6,15,3.94,0.0,True,0.49344355758266817
AR,34,510,No,No,0,124.8,82.0,21.22,282.2,98.0,23.99,311.5,78.0,14.02,10.0,4,2.7,2.0,False,0.3557582668187001
ID,160,415,No,No,0,85.8,77.0,14.59,165.3,110.0,14.05,178.5,92.0,8.03,9.2,4,2.48,3.0,False,0.24458380843785632
WI,64,510,No,No,0,154.0,67.0,26.18,225.8,118.0,19.19,265.3,86.0,11.94,3.5,3,0.95,1.0,False,0.4389965792474344
OR,59,408,No,Yes,28,120.9,97.0,20.55,213.0,92.0,18.11,163.1,116.0,7.34,8.5,5,2.3,2.0,False,0.3446408209806157
MI,65,415,No,No,0,211.3,120.0,35.92,162.6,122.0,13.82,134.7,118.0,6.06,13.2,5,3.56,3.0,False,0.6023375142531358
DE,142,408,No,No,0,187.0,133.0,31.79,134.6,74.0,11.44,242.2,127.0,10.9,7.4,5,2.0,2.0,False,0.5330672748004561
ID,119,415,No,No,0,159.1,114.0,27.05,231.3,117.0,19.66,143.2,91.0,6.44,8.8,3,2.38,5.0,True,0.4535347776510832
WY,97,415,No,Yes,24,133.2,135.0,22.64,217.2,58.0,18.46,70.6,79.0,3.18,11.0,3,2.97,1.0,False,0.37970353477765106
IA,52,408,No,No,0,191.9,108.0,32.62,269.8,96.0,22.93,236.8,87.0,10.66,7.8,5,2.11,3.0,False,0.5470353477765109
IN,60,408,No,No,0,220.6,57.0,37.5,211.1,115.0,17.94,249.0,129.0,11.21,6.8,3,1.84,1.0,False,0.62884834663626
VA,10,408,No,No,0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6,3.08,2.0,False,0.5305017103762828
UT,96,415,No,No,0,160.2,117.0,27.23,267.5,67.0,22.74,228.5,68.0,10.28,9.3,5,2.51,2.0,False,0.45667046750285056
WY,87,415,No,No,0,151.0,83.0,25.67,219.7,116.0,18.67,203.9,127.0,9.18,9.7,3,2.62,5.0,True,0.43044469783352335
IN,81,408,No,No,0,175.5,67.0,29.84,249.3,85.0,21.19,270.2,98.0,12.16,10.2,3,2.75,1.0,False,0.500285062713797
CO,141,415,No,No,0,126.9,98.0,21.57,180.0,62.0,15.3,140.8,128.0,6.34,8.0,2,2.16,1.0,False,0.3617445838084379
CO,121,408,No,Yes,30,198.4,129.0,33.73,75.3,77.0,6.4,181.2,77.0,8.15,5.8,3,1.57,3.0,True,0.5655644241733181
WI,68,415,No,No,0,148.8,70.0,25.3,246.5,164.0,20.95,129.8,103.0,5.84,12.1,3,3.27,3.0,False,0.4241733181299886
OK,125,408,No,No,0,229.3,103.0,38.98,177.4,126.0,15.08,189.3,95.0,8.52,12.0,8,3.24,1.0,False,0.6536488027366021
ID,174,408,No,No,0,192.1,97.0,32.66,169.9,94.0,14.44,166.6,54.0,7.5,11.4,4,3.08,1.0,False,0.5476054732041049
CA,116,415,No,Yes,34,268.6,83.0,45.66,178.2,142.0,15.15,166.3,106.0,7.48,11.6,3,3.13,2.0,False,0.765678449258837
MN,74,510,No,Yes,33,193.7,91.0,32.93,246.1,96.0,20.92,138.0,92.0,6.21,14.6,3,3.94,2.0,False,0.5521664766248574
SD,149,408,No,Yes,28,180.7,92.0,30.72,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3,3.4,3.0,False,0.5151083238312428
NC,38,408,No,No,0,131.2,98.0,22.3,162.9,97.0,13.85,159.0,106.0,7.15,8.2,6,2.21,2.0,False,0.3740022805017103
WA,40,415,No,Yes,41,148.1,74.0,25.18,169.5,88.0,14.41,214.1,102.0,9.63,6.2,5,1.67,2.0,False,0.4221778791334093
WY,43,415,Yes,No,0,251.5,105.0,42.76,212.8,104.0,18.09,157.8,67.0,7.1,9.3,4,2.51,0.0,False,0.7169327251995439
MN,113,408,Yes,No,0,125.2,93.0,21.28,206.4,119.0,17.54,129.3,139.0,5.82,8.3,8,2.24,0.0,False,0.35689851767388825
UT,126,408,No,No,0,211.6,70.0,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1,2.11,1.0,False,0.6031927023945267
TX,150,510,No,No,0,178.9,101.0,30.41,169.1,110.0,14.37,148.6,100.0,6.69,13.8,3,3.73,4.0,True,0.5099771949828963
NJ,138,408,No,No,0,241.8,93.0,41.11,170.5,83.0,14.49,295.3,104.0,13.29,11.8,7,3.19,3.0,False,0.6892816419612314
MN,162,510,No,Yes,46,224.9,97.0,38.23,188.2,84.0,16.0,254.6,61.0,11.46,12.1,2,3.27,0.0,False,0.6411060433295325
NM,147,510,No,No,0,248.6,83.0,42.26,148.9,85.0,12.66,172.5,109.0,7.76,8.0,4,2.16,3.0,False,0.7086659064994298
NV,90,415,No,No,0,203.4,146.0,34.58,226.7,117.0,19.27,152.4,105.0,6.86,7.3,4,1.97,1.0,False,0.5798175598631699
HI,85,415,No,No,0,235.8,109.0,40.09,157.2,94.0,13.36,188.2,99.0,8.47,12.0,3,3.24,0.0,False,0.6721778791334093
MN,50,415,No,No,0,157.1,90.0,26.71,223.3,72.0,18.98,181.4,111.0,8.16,6.1,2,1.65,1.0,False,0.4478335233751425
DC,82,415,No,No,0,300.3,109.0,51.05,181.0,100.0,15.39,270.1,73.0,12.15,11.7,4,3.16,0.0,True,0.8560433295324972
NY,144,408,No,No,0,61.6,117.0,10.47,77.1,85.0,6.55,173.0,99.0,7.79,8.2,7,2.21,4.0,True,0.17559863169897377
MN,46,415,No,No,0,214.1,72.0,36.4,164.4,104.0,13.97,177.5,113.0,7.99,8.2,3,2.21,2.0,False,0.6103192702394526
MD,70,408,No,No,0,170.2,98.0,28.93,155.2,102.0,13.19,228.6,76.0,10.29,15.0,2,4.05,1.0,False,0.48517673888255414
WV,144,415,No,No,0,201.1,99.0,34.19,303.5,74.0,25.8,224.0,119.0,10.08,13.2,2,3.56,1.0,False,0.5732611174458381
OR,116,415,Yes,No,0,215.4,104.0,36.62,204.8,79.0,17.41,278.5,109.0,12.53,12.6,5,3.4,3.0,False,0.6140250855188142
CO,55,408,No,Yes,25,165.6,123.0,28.15,136.1,95.0,11.57,175.7,90.0,7.91,11.0,2,2.97,3.0,False,0.47206385404789053
GA,70,415,No,Yes,24,249.5,101.0,42.42,259.7,98.0,22.07,222.7,68.0,10.02,9.8,4,2.65,1.0,False,0.7112314709236032
TX,106,510,No,No,0,210.6,96.0,35.8,249.2,85.0,21.18,191.4,88.0,8.61,12.4,1,3.35,2.0,True,0.6003420752565564
VT,128,510,No,Yes,29,179.3,104.0,30.48,225.9,86.0,19.2,323.0,78.0,14.54,8.6,7,2.32,0.0,False,0.5111174458380844
IN,94,408,No,No,0,157.9,105.0,26.84,155.0,101.0,13.18,189.6,84.0,8.53,8.0,5,2.16,4.0,True,0.45011402508551884
WV,111,510,No,No,0,214.3,118.0,36.43,208.5,76.0,17.72,182.4,98.0,8.21,12.0,2,3.24,1.0,False,0.6108893956670468
KY,74,415,No,Yes,35,154.1,104.0,26.2,123.4,84.0,10.49,202.1,57.0,9.09,10.9,9,2.94,2.0,False,0.43928164196123143
NJ,128,415,No,No,0,237.9,125.0,40.44,247.6,93.0,21.05,208.9,68.0,9.4,13.9,4,3.75,1.0,True,0.678164196123147
DC,82,510,No,No,0,143.9,61.0,24.46,194.9,105.0,16.57,109.6,94.0,4.93,11.1,2,3.0,1.0,False,0.41020524515393386
LA,155,415,No,No,0,203.4,100.0,34.58,190.9,104.0,16.23,196.0,119.0,8.82,8.9,4,2.4,0.0,True,0.5798175598631699
AR,80,415,No,No,0,124.3,100.0,21.13,173.0,107.0,14.71,253.2,62.0,11.39,7.9,9,2.13,1.0,False,0.3543329532497149
ME,78,415,No,No,0,252.9,93.0,42.99,178.4,112.0,15.16,263.9,105.0,11.88,9.5,7,2.57,3.0,False,0.7209236031927024
AZ,90,415,No,No,0,179.1,71.0,30.45,190.6,81.0,16.2,127.7,91.0,5.75,10.6,7,2.86,3.0,False,0.5105473204104902
AK,104,408,No,No,0,278.4,106.0,47.33,81.0,113.0,6.89,163.2,137.0,7.34,9.8,5,2.65,1.0,False,0.7936145952109463
MT,73,415,No,No,0,160.1,110.0,27.22,213.3,72.0,18.13,174.1,72.0,7.83,13.0,4,3.51,0.0,False,0.45638540478905354
AZ,99,415,No,No,0,198.2,87.0,33.69,207.3,76.0,17.62,190.9,113.0,8.59,8.7,3,2.35,4.0,False,0.564994298745724
MS,120,408,No,No,0,212.1,131.0,36.06,209.4,104.0,17.8,167.2,96.0,7.52,5.3,5,1.43,1.0,True,0.604618015963512
ID,77,415,No,No,0,251.8,72.0,42.81,205.7,126.0,17.48,275.2,109.0,12.38,9.8,7,2.65,2.0,True,0.7177879133409351
IA,98,510,No,Yes,21,161.2,114.0,27.4,252.2,83.0,21.44,160.2,92.0,7.21,4.4,8,1.19,4.0,False,0.4595210946408209
MA,108,415,No,No,0,178.3,137.0,30.31,189.0,76.0,16.07,129.1,102.0,5.81,14.6,5,3.94,0.0,False,0.508266818700114
VT,135,415,No,No,0,151.7,82.0,25.79,119.0,105.0,10.12,180.0,100.0,8.1,10.5,6,2.84,0.0,False,0.4324401368301026
KY,95,408,No,No,0,135.0,99.0,22.95,183.6,106.0,15.61,245.3,102.0,11.04,12.5,9,3.38,1.0,False,0.3848346636259977
IN,122,408,No,No,0,170.5,94.0,28.99,173.7,109.0,14.76,248.6,75.0,11.19,11.3,2,3.05,1.0,False,0.48603192702394526
AZ,95,408,No,No,0,238.1,65.0,40.48,187.2,98.0,15.91,190.0,115.0,8.55,11.8,4,3.19,4.0,False,0.6787343215507411
MI,36,510,No,Yes,29,281.4,102.0,47.84,202.2,76.0,17.19,187.2,113.0,8.42,9.0,6,2.43,2.0,False,0.8021664766248574
NM,93,510,No,Yes,21,117.9,131.0,20.04,164.5,115.0,13.98,217.0,86.0,9.76,9.8,3,2.65,1.0,False,0.33608893956670466
CO,141,415,No,Yes,32,148.6,91.0,25.26,131.1,97.0,11.14,219.4,142.0,9.87,10.1,1,2.73,1.0,False,0.4236031927023945
UT,157,408,No,No,0,229.8,90.0,39.07,147.9,121.0,12.57,241.4,108.0,10.86,9.6,7,2.59,3.0,False,0.6550741163055872
MI,120,408,No,No,0,165.0,100.0,28.05,317.2,83.0,26.96,119.2,86.0,5.36,8.3,8,2.24,1.0,False,0.47035347776510833
MA,103,415,No,No,0,185.0,117.0,31.45,223.3,94.0,18.98,222.8,91.0,10.03,12.6,2,3.4,2.0,False,0.5273660205245154
AL,98,408,No,No,0,161.0,117.0,27.37,190.9,113.0,16.23,227.7,113.0,10.25,12.1,4,3.27,4.0,False,0.4589509692132269
DE,125,408,No,No,0,126.7,108.0,21.54,206.0,90.0,17.51,247.8,114.0,11.15,13.3,7,3.59,1.0,False,0.3611744583808438
AZ,63,415,No,No,0,58.9,125.0,10.01,169.6,59.0,14.42,211.4,88.0,9.51,9.4,3,2.54,1.0,False,0.16790193842645382
ME,36,510,Yes,Yes,42,196.8,89.0,33.46,254.9,122.0,21.67,138.3,126.0,6.22,20.0,6,5.4,0.0,True,0.5610034207525656
NJ,64,510,No,No,0,162.6,83.0,27.64,152.3,109.0,12.95,57.5,122.0,2.59,14.2,3,3.83,1.0,False,0.4635119726339794
NV,74,415,No,No,0,282.5,114.0,48.03,219.9,48.0,18.69,170.0,115.0,7.65,9.4,4,2.54,1.0,True,0.8053021664766248
MO,112,510,No,Yes,36,113.7,117.0,19.33,157.5,82.0,13.39,177.6,118.0,7.99,10.0,3,2.7,2.0,False,0.3241163055872292
ID,97,408,No,No,0,239.8,125.0,40.77,214.8,111.0,18.26,143.3,81.0,6.45,8.7,5,2.35,2.0,False,0.6835803876852907
NE,46,408,No,No,0,210.2,92.0,35.73,227.3,77.0,19.32,200.1,116.0,9.0,13.1,7,3.54,1.0,False,0.5992018244013683
TX,41,408,No,Yes,22,213.8,102.0,36.35,141.8,86.0,12.05,142.2,123.0,6.4,7.2,3,1.94,0.0,False,0.6094640820980616
MD,121,510,No,No,0,190.7,103.0,32.42,183.5,117.0,15.6,220.8,103.0,9.94,9.8,4,2.65,3.0,False,0.5436145952109463
MS,193,415,No,No,0,170.9,124.0,29.05,132.3,95.0,11.25,112.9,89.0,5.08,11.6,3,3.13,1.0,False,0.4871721778791334
NV,130,510,No,No,0,154.2,119.0,26.21,110.2,98.0,9.37,227.4,117.0,10.23,9.2,5,2.48,2.0,False,0.43956670467502845
AZ,85,408,No,No,0,201.4,52.0,34.24,229.4,104.0,19.5,252.5,106.0,11.36,12.0,3,3.24,1.0,False,0.5741163055872291
MS,162,415,No,No,0,70.7,108.0,12.02,157.5,87.0,13.39,154.8,82.0,6.97,9.1,3,2.46,4.0,True,0.201539338654504
MS,61,510,No,Yes,27,187.5,124.0,31.88,146.6,103.0,12.46,225.7,129.0,10.16,6.4,6,1.73,4.0,True,0.5344925883694412
TX,92,408,No,No,0,91.7,90.0,15.59,193.7,123.0,16.46,175.0,86.0,7.88,9.2,4,2.48,2.0,False,0.2614025085518814
NE,131,408,No,Yes,36,214.2,115.0,36.41,161.7,117.0,13.74,264.7,102.0,11.91,9.5,4,2.57,3.0,False,0.6106043329532497
NE,90,415,No,No,0,145.5,92.0,24.74,217.7,114.0,18.5,146.9,123.0,6.61,10.9,2,2.94,3.0,False,0.4147662485746864
CA,75,408,No,No,0,166.3,125.0,28.27,158.2,86.0,13.45,256.7,80.0,11.55,6.1,5,1.65,1.0,False,0.4740592930444698
NJ,78,415,No,No,0,231.0,115.0,39.27,230.4,140.0,19.58,261.4,120.0,11.76,9.5,3,2.57,1.0,False,0.6584948688711516
TX,82,408,No,No,0,200.3,96.0,34.05,201.2,102.0,17.1,206.1,60.0,9.27,7.1,1,1.92,4.0,False,0.5709806157354618
AR,163,408,No,No,0,197.0,109.0,33.49,202.6,128.0,17.22,206.4,80.0,9.29,9.1,10,2.46,1.0,False,0.5615735461801596
AL,91,510,Yes,No,0,129.9,112.0,22.08,173.3,83.0,14.73,247.2,130.0,11.12,11.2,3,3.02,3.0,False,0.37029646522234894
NY,75,415,No,Yes,21,175.8,97.0,29.89,217.5,106.0,18.49,237.5,134.0,10.69,5.3,4,1.43,5.0,False,0.5011402508551882
FL,91,510,No,No,0,203.1,106.0,34.53,210.1,113.0,17.86,195.6,129.0,8.8,12.0,3,3.24,3.0,False,0.5789623717217788
AK,127,510,No,Yes,36,183.2,117.0,31.14,126.8,76.0,10.78,263.3,71.0,11.85,11.2,8,2.764588341346154,1.5631009615384615,,0.5222348916761687
NV,113,415,No,Yes,23,205.0,101.0,34.85,152.0,60.0,12.92,158.6,59.0,7.14,10.2,5,2.764588341346154,1.5631009615384615,,0.5843785632839225
DE,110,510,No,No,0,148.5,115.0,25.25,276.4,84.0,23.49,193.6,112.0,8.71,12.4,3,2.764588341346154,1.5631009615384615,,0.42331812998859747
MD,120,415,No,Yes,39,200.3,68.0,34.05,220.4,97.0,18.73,253.8,116.0,11.42,10.5,4,2.764588341346154,1.5631009615384615,,0.5709806157354618
MI,157,415,No,Yes,28,192.6,107.0,32.74,195.5,74.0,16.62,109.7,139.0,4.94,6.8,5,2.764588341346154,1.5631009615384615,,0.54903078677309
VT,103,510,No,No,0,246.5,47.0,41.91,195.5,84.0,16.62,200.5,96.0,9.02,11.7,4,3.16,1.0,False,0.7026795895096921
VT,117,408,Yes,No,0,167.1,86.0,28.41,177.5,87.0,15.09,249.4,132.0,11.22,14.1,7,3.81,2.0,True,0.47633979475484606
MI,140,415,No,No,0,231.9,101.0,39.42,160.1,94.0,13.61,110.4,98.0,4.97,14.3,6,3.86,3.0,False,0.6610604332953249
WA,127,408,No,No,0,146.7,91.0,24.94,203.5,78.0,17.3,203.4,110.0,9.15,13.7,3,3.7,1.0,False,0.4181870011402508
UT,83,408,Yes,No,0,271.5,87.0,46.16,216.3,126.0,18.39,121.1,105.0,5.45,11.7,4,3.16,1.0,False,0.7739452679589509
LA,121,408,No,No,0,181.5,121.0,30.86,218.4,98.0,18.56,161.6,103.0,7.27,8.5,5,2.3,1.0,False,0.5173888255416191
RI,145,408,No,Yes,43,257.7,97.0,43.81,162.1,95.0,13.78,286.9,86.0,12.91,11.1,4,3.0,2.0,False,0.73460661345496
IA,113,408,No,No,0,193.8,99.0,32.95,221.4,125.0,18.82,172.3,67.0,7.75,10.6,6,2.86,1.0,False,0.5524515393386545
NE,117,415,No,No,0,102.8,119.0,17.48,206.7,91.0,17.57,299.0,105.0,13.46,10.1,7,2.73,1.0,False,0.2930444697833523
OH,65,408,No,No,0,187.9,116.0,31.94,157.6,117.0,13.4,227.3,86.0,10.23,7.5,6,2.03,1.0,False,0.5356328392246295
RI,56,415,No,No,0,226.0,112.0,38.42,248.5,118.0,21.12,140.5,142.0,6.32,6.9,11,1.86,1.0,False,0.6442417331812998
OK,96,415,No,No,0,260.4,115.0,44.27,146.0,46.0,12.41,269.5,87.0,12.13,11.5,4,3.11,5.0,False,0.7423033067274799
LA,151,408,No,No,0,178.7,116.0,30.38,292.1,138.0,24.83,265.9,101.0,11.97,9.8,4,2.65,0.0,False,0.5094070695553021
OH,83,415,No,No,0,337.4,120.0,57.36,227.4,116.0,19.33,153.9,114.0,6.93,15.8,7,4.27,0.0,True,0.9618015963511972
VA,139,510,No,Yes,23,157.6,129.0,26.79,247.0,96.0,21.0,259.2,112.0,11.66,13.7,2,3.7,0.0,False,0.44925883694412766
MO,6,510,No,No,0,183.6,117.0,31.21,256.7,72.0,21.82,178.6,79.0,8.04,10.2,2,2.75,1.0,False,0.5233751425313569
FL,115,510,No,Yes,24,142.1,124.0,24.16,183.4,129.0,15.59,164.8,114.0,7.42,9.6,4,2.59,1.0,False,0.4050741163055872
SC,87,415,No,No,0,136.3,97.0,23.17,172.2,108.0,14.64,137.5,101.0,6.19,7.1,5,1.92,0.0,False,0.3885404789053592
VA,141,415,No,No,0,217.1,110.0,36.91,241.5,111.0,20.53,253.5,103.0,11.41,12.0,6,3.24,0.0,False,0.6188711516533637
IA,141,510,No,Yes,36,187.5,99.0,31.88,241.4,116.0,20.52,229.5,105.0,10.33,10.5,5,2.84,3.0,False,0.5344925883694412
MI,62,415,No,No,0,98.9,103.0,16.81,135.4,122.0,11.51,236.6,82.0,10.65,12.2,1,3.29,1.0,False,0.281927023945268
OK,146,415,No,No,0,206.3,151.0,35.07,148.6,89.0,12.63,167.2,91.0,7.52,6.1,3,1.65,1.0,False,0.5880843785632839
DE,92,415,No,Yes,33,243.1,92.0,41.33,213.8,92.0,18.17,228.7,104.0,10.29,12.1,2,3.27,2.0,False,0.6929874572405929
GA,185,510,No,Yes,31,189.8,126.0,32.27,163.3,133.0,13.88,264.8,126.0,11.92,7.5,3,2.03,1.0,False,0.5410490307867731
DC,148,415,No,No,0,202.0,102.0,34.34,243.2,128.0,20.67,261.3,90.0,11.76,10.9,3,2.94,1.0,False,0.5758266818700114
AZ,94,408,No,Yes,38,170.1,124.0,28.92,193.3,116.0,16.43,105.9,73.0,4.77,12.8,4,3.46,1.0,False,0.4848916761687571
AL,32,510,No,No,0,230.9,87.0,39.25,187.4,90.0,15.93,154.0,53.0,6.93,6.3,2,1.7,0.0,False,0.6582098061573546
CO,68,408,No,No,0,237.1,105.0,40.31,223.5,105.0,19.0,97.4,79.0,4.38,13.2,2,3.56,1.0,False,0.6758836944127707
NH,64,408,No,Yes,27,182.1,91.0,30.96,169.7,98.0,14.42,164.7,86.0,7.41,10.6,5,2.86,2.0,False,0.5190992018244014
NM,25,415,No,No,0,119.3,87.0,20.28,211.5,101.0,17.98,268.9,86.0,12.1,10.5,4,2.84,3.0,False,0.34007981755986316
OR,65,415,No,No,0,116.8,87.0,19.86,178.9,93.0,15.21,182.4,150.0,8.21,14.1,2,3.81,1.0,False,0.3329532497149373
LA,179,408,No,No,0,219.2,92.0,37.26,149.4,125.0,12.7,244.7,104.0,11.01,6.1,5,1.65,0.0,False,0.6248574686431014
NE,94,415,No,No,0,252.6,104.0,42.94,169.0,125.0,14.37,170.9,106.0,7.69,11.1,7,3.0,2.0,False,0.7200684150513113
MN,62,415,No,No,0,147.1,91.0,25.01,190.4,107.0,16.18,195.2,115.0,8.78,12.2,3,3.29,0.0,False,0.41932725199543897
MI,127,415,No,No,0,202.1,103.0,34.36,229.4,86.0,19.5,195.2,113.0,8.78,11.5,3,3.11,2.0,False,0.5761117445838084
AR,116,408,No,No,0,173.5,93.0,29.5,194.1,76.0,16.5,208.0,112.0,9.36,16.2,10,4.37,3.0,False,0.4945838084378563
KS,70,408,No,No,0,232.1,122.0,39.46,292.3,112.0,24.85,201.2,112.0,9.05,0.0,0,0.0,3.0,False,0.661630558722919
